time_ms,weight_kg,sync
138088.0,0.4264,0
138101.0,0.4862,0
138114.0,0.455,0
138128.0,0.5203,0
138141.0,0.4096,0
138154.0,0.5831,0
138168.0,0.4867,0
138181.0,0.462,0
138194.0,0.3699,0
138208.0,0.4891,0
138221.0,0.413,0
138234.0,0.439,0
138248.0,0.3594,0
138261.0,0.5035,0
138274.0,0.4027,0
138288.0,0.3587,0
138301.0,0.3487,0
138314.0,0.4129,0
138328.0,0.334,0
138341.0,0.4084,0
138354.0,0.334,0
138368.0,0.4209,0
138381.0,0.3786,0
138394.0,0.4932,0
138408.0,0.3712,0
138421.0,0.4535,0
138434.0,0.4342,0
138448.0,0.5089,0
138461.0,0.3974,0
138474.0,0.4972,0
138488.0,0.4384,0
138501.0,0.4864,0
138514.0,0.3665,0
138528.0,0.496,0
138541.0,0.3906,0
138554.0,0.4211,0
138568.0,0.4109,0
138581.0,0.5183,0
138594.0,0.3979,0
138608.0,0.4475,0
138621.0,0.5095,0
138634.0,0.5494,0
138648.0,0.4414,0
138661.0,0.5644,0
138674.0,0.4974,0
138688.0,0.4678,0
138701.0,0.4935,0
138714.0,0.5986,0
138728.0,0.5325,0
138741.0,0.5682,0
138754.0,0.5096,0
138768.0,0.5001,0
138781.0,0.4715,0
138794.0,0.534,0
138808.0,0.5196,0
138821.0,0.5518,0
138834.0,0.4441,0
138848.0,0.4529,0
138861.0,0.4295,0
138874.0,0.5009,0
138888.0,0.4145,0
138901.0,0.4728,0
138914.0,0.4328,0
138928.0,0.4142,0
138941.0,0.4464,0
138954.0,0.5098,0
138968.0,0.4591,0
138981.0,0.5403,0
138994.0,0.4294,0
139008.0,0.4662,0
139021.0,0.434,0
139034.0,0.439,0
139048.0,0.3905,0
139061.0,0.4399,0
139074.0,0.3255,0
139088.0,0.3637,0
139101.0,0.302,0
139114.0,0.3515,0
139128.0,0.4,0
139141.0,0.4818,0
139154.0,0.3356,0
139168.0,0.4309,0
139181.0,0.395,0
139194.0,0.4159,0
139208.0,0.4089,0
139221.0,0.4652,0
139234.0,0.339,0
139248.0,0.4152,0
139261.0,0.3675,0
139274.0,0.3935,0
139288.0,0.3634,0
139301.0,0.3974,0
139314.0,0.315,0
139328.0,0.3536,0
139341.0,0.4199,0
139354.0,0.4339,0
139368.0,0.3304,0
139381.0,0.4736,0
139394.0,0.4394,0
139408.0,0.4562,0
139421.0,0.5287,0
139434.0,0.4569,0
139448.0,0.3818,0
139461.0,0.5143,0
139474.0,0.4265,0
139488.0,0.3894,0
139501.0,0.4983,0
139514.0,0.477,0
