time_ms,weight_kg,accel_x,accel_y,accel_z,tilt_x,tilt_y,sync
1978248.0,-2.1118,0.4118,1.2881,9.912,7.398,-2.379,0
1978298.0,-2.1929,0.589,1.3886,9.8737,7.992,-3.414,0
1978348.0,-2.1535,0.6464,1.494,9.9407,8.529,-3.721,0
1978398.0,-2.2418,0.589,1.5945,9.8785,9.153,-3.412,0
1978448.0,-2.2031,0.4836,1.336,9.8737,7.697,-2.804,0
1978498.0,-2.205,0.6464,1.5419,9.8545,8.874,-3.753,0
1978548.0,-2.114,0.5267,1.3743,9.9407,7.86,-3.033,0
1978598.0,-2.0942,0.4214,1.4509,9.8497,8.372,-2.45,0
1978648.0,-2.0089,0.5986,1.3072,9.9695,7.457,-3.436,0
1978698.0,-2.0599,0.6033,1.561,9.8497,8.989,-3.505,0
1978748.0,-1.9201,0.6943,1.652,9.9407,9.413,-3.995,0
1978798.0,-2.0062,0.6464,1.4222,9.9647,8.106,-3.712,0
1978848.0,-1.9746,0.5028,0.8428,9.9216,4.849,-2.901,0
1978898.0,-1.9906,0.5315,1.2641,9.7444,7.381,-3.122,0
1978948.0,-1.9809,0.6608,1.1923,9.9742,6.802,-3.79,0
1978998.0,-2.0135,0.5315,1.4557,9.8881,8.363,-3.077,0
1979048.0,-2.0461,0.5746,1.4317,9.9742,8.155,-3.297,0
1979098.0,-2.0844,0.7039,1.585,10.07,8.923,-3.998,0
1979148.0,-2.053,0.5124,0.9337,9.9503,5.354,-2.948,0
1979198.0,-2.1133,0.6656,0.9912,9.8545,5.731,-3.864,0
1979248.0,-2.1051,0.656,1.063,10.0317,6.036,-3.741,0
1979298.0,-2.1787,0.5698,1.4365,9.8785,8.26,-3.301,0
1979348.0,-2.1591,0.6129,1.3503,9.8545,7.788,-3.559,0
1979398.0,-2.1523,0.5315,1.6472,9.821,9.508,-3.098,0
1979448.0,-2.0597,0.5076,1.3934,9.7731,8.104,-2.973,0
1979498.0,-2.0184,0.5315,0.8332,9.8306,4.837,-3.095,0
1979548.0,-1.9492,0.5124,1.0151,9.9024,5.845,-2.962,0
1979598.0,-2.0471,0.5315,1.5083,9.7252,8.803,-3.128,0
