0.021,-0.009,0.033,-12.59,-32.98,0
0.012,-0.028,-0.01,-60.87,-130.64,0
0.026,-0.014,0.026,-20.27,-45.44,0
0.009,-0.014,-0.005,-51.4,-119.59,0
-0.005,0.025,0.002,77.96,69.65,0
0.007,0.003,-0.001,24.38,-94.56,0
0.021,0.003,-0.008,7.99,-109.9,0
-0.007,-0.009,-0.015,-27.82,153.81,0
0.021,-0.011,-0.02,-21.01,-132.67,0
0.024,-0.014,-0.008,-28.48,-108.03,0
-0.007,-0.006,0.04,-8.89,10.37,0
0.031,0.018,0.014,27.38,-65.97,0
0.017,0.022,-0.003,52.96,-100.09,0
0.007,0.018,-0.005,63.31,-127.29,0
-0,-0.014,-0.005,-68.48,178.29,0
-0.034,-0.004,0.014,-6.26,67.71,0
-0,0.008,0.023,18.85,0.39,0
-0.036,0.001,0.019,1.13,62.73,0
0.014,-0.016,-0.068,-13.01,-168.13,0
0.005,-0.014,0.014,-42.98,-18.54,0
-0.031,0.008,0.028,10.73,48,0
0.014,-0.011,-0.001,-38.16,-92.26,0
0.024,0.015,-0.008,31.23,-108.03,0
-0.015,0.015,0.021,30.71,34.68,0
0.021,-0.006,-0.013,-14.44,-120.36,0
0.029,0.018,0.009,30.37,-72.48,0
0.014,-0.004,0.014,-11.39,-45.82,0
0.041,-0.014,0.028,-15.37,-55.21,0
0.005,-0.009,-0.008,-44.22,-149.13,0
0.005,0.006,-0.01,26.63,-155.46,0
0.002,-0.002,-0.029,-3.11,-175.64,0
-0.007,-0.023,0.016,-52.46,24.38,0
-0.01,0.003,-0.008,14.39,128.49,0
-0.012,-0.018,0.016,-42.21,36.83,0
-0.026,-0.004,-0.01,-8.01,110.94,0
-0.007,-0.014,0.004,-58.01,60.06,0
0.002,0.006,-0.039,8.17,-176.71,0
-0.019,-0.016,-0.008,-37.49,111.84,0
-0,-0.018,0.021,-41.17,0.44,0
0.005,0.02,0.002,75.99,-68.38,0
0.007,-0.002,0.021,-4.13,-18.5,0
0.017,0.003,0.031,5.24,-28.51,0
0.012,0.001,0.004,3.64,-70.3,0
-0,-0.011,0.014,-38.98,0.66,0
-0.01,-0.023,0.026,-40.03,20.69,0
-0.024,-0.011,0.033,-15.3,36.18,0
0.019,-0.006,0.019,-13.51,-45.61,0
0.012,0.006,0.007,22.42,-60.72,0
-0.012,-0.047,-0.001,-75.54,92.64,0
0.017,0.015,0.002,42.24,-83.69,0
-0,-0.042,0.009,-77.96,1.01,0
-0.005,-0.014,-0.01,-50.26,153.98,0
-0.003,-0.011,-0.001,-76.83,102.36,0
0.014,-0.04,-0.01,-66.38,-125.51,0
-0,0.01,0.016,32.64,0.56,0
-0.036,0.013,0.014,18.29,69.06,0
0.007,0.001,0.019,2.3,-20.69,0
0.002,0.006,-0.003,56.46,-142.89,0
0.014,0.008,0.009,25.38,-57.59,0
-0.003,0.01,0.011,41.58,12.61,0
0.017,0.001,-0.013,2.2,-127.05,0
-0.007,-0.004,0.023,-9.25,17.43,0
0.024,0.01,0.031,15,-37.89,0
