time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
4.466238,video,,,,,,,,0.627874,106.978331,0
4.482903,video,,,,,,,,0.393509,106.681350,0
4.499568,video,,,,,,,,0.474816,106.096330,0
4.516233,video,,,,,,,,-0.079467,105.653178,0
4.532898,video,,,,,,,,-0.317865,105.654702,0
4.549563,video,,,,,,,,0.549395,106.976826,0
4.566229,video,,,,,,,,0.472207,106.682457,0
4.582894,video,,,,,,,,0.472207,106.682457,0
4.599559,video,,,,,,,,-0.317865,105.654702,0
4.616224,video,,,,,,,,-0.158934,105.653482,0
4.632889,video,,,,,,,,0.475473,105.949798,0
4.649554,video,,,,,,,,-0.158934,105.653482,0
4.666219,video,,,,,,,,0.628735,106.831803,0
4.682884,video,,,,,,,,0.786980,106.688898,0
4.699549,video,,,,,,,,0.791328,106.102806,0
4.716214,video,,,,,,,,0.792422,105.956283,0
4.766209,video,,,,,,,,0.000000,106.532297,0
4.782874,video,,,,,,,,0.786980,106.688898,0
4.799539,video,,,,,,,,0.474816,106.096330,0
4.816205,video,,,,,,,,0.396230,105.948683,0
4.832870,video,,,,,,,,-1.040172,104.937684,0
4.849535,video,,,,,,,,-0.078595,106.825471,0
4.866200,video,,,,,,,,0.079357,105.799714,0
4.882865,video,,,,,,,,-0.793520,105.809760,0
4.899530,video,,,,,,,,-0.628735,106.831803,0
4.916195,video,,,,,,,,0.000000,106.678834,0
4.932860,video,,,,,,,,-0.079138,106.092788,0
4.949525,video,,,,,,,,-0.877722,105.225812,0
4.966190,video,,,,,,,,-0.786980,106.688898,0
4.999520,video,,,,,,,,-0.788063,106.542375,0
5.016185,video,,,,,,,,-2.217815,106.025570,0
5.032850,video,,,,,,,,0.000000,105.946150,0
5.049515,video,,,,,,,,-0.158275,106.093091,0
5.066181,video,,,,,,,,-0.158057,106.239628,0
5.082846,video,,,,,,,,-1.117046,105.233464,0
5.099511,video,,,,,,,,0.000000,106.239223,0
5.116176,video,,,,,,,,-0.478118,105.363671,0
5.132841,video,,,,,,,,0.000000,106.239223,0
5.149506,video,,,,,,,,0.000000,106.239223,0
5.166171,video,,,,,,,,0.000000,106.239223,0
5.182836,video,,,,,,,,0.316111,106.240840,0
5.199501,video,,,,,,,,-0.398434,105.362550,0
5.216166,video,,,,,,,,-0.638367,105.219996,0
5.232831,video,,,,,,,,-0.797940,105.223669,0
5.249496,video,,,,,,,,0.471560,106.828989,0
5.266161,video,,,,,,,,-0.079467,105.653178,0
5.282826,video,,,,,,,,0.550148,106.830296,0
